"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"14865","IVRPRI","EQ","IVRCL Assets & Holdings Limite",0.01,1,"","",0,10,"INE414I01018",60,20.6,339.8,16.07,"","","",0,0,0,41.5,34,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IVRCLAH"
"14871","UDAINF","EQ","UDAYSHIVAKUMAR INFRA LIMITED",0.01,1,"","",0,10,"INE0N0Y01013",44.3,27.3,44.3,27.3,"","","",0,0,0,44.25,29.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","USK"
"14885","THI23D","TB","TBILL 182 Day 29SP23",0.01,1,"","",0,100,"IN002022Y534",0,0,0,0,"","","",0,0,0,104.85,94.86,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","182D290923"
"14886","TYC24D","TB","TBILL 364 Day 29MR24",0.01,1,"","",0,100,"IN002022Z523",0,0,0,0,"","","",0,0,0,101.85,92.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D290324"
"14889","ASIGRA","EQ","ASIAN GRANITO INDIA LIMITED",0.01,1,"","",0,10,"INE022I01019",85.25,34.05,390.75,7.59,"","","",0,0,0,98.6,65.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASIANTILES"
"14894","CENBAN","EQ","CENTRAL BANK OF INDIA",0.01,1,"","",0,10,"INE483A01010",56,20.1,190.75,10.1,"","","",0,0,0,52.8,35.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTRALBK"
"14895","AKIIND","BE","AKI INDIA LIMITED",0.01,1,"","",0,2,"INE642Z01026",24.52,10.6,24.52,10.6,"","","",0,0,0,20.15,19.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AKI"
"149","SGBT43","GB","2.50% SOV. GOLD BOND 8 SEP 28",0.01,1,"","",0,5117,"IN0020200195",0,0,6018.59,4447.2,"","","",0,0,0,6556,5364,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBSEP28VI"
"14900","SAHYIN","EQ","SAHYADRI INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE280H01015",484.1,322.25,484.1,322.25,"","","",0,0,0,482.1,321.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SAHYADRI"
"14902","ELEIN","BE","ELECTROTHERM (INDIA) LIMITED",0.01,1,"","",0,10,"INE822G01016",155.3,51.2,644,13.15,"","","",0,0,0,126.85,121.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ELECTHERM"
