"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"9505","OPTCUR","USDINR","OPTION","10-Nov-2023",80.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",46,1,1000,0.0025,"US Dollars","","","","",2.135,2.96,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.5475,"USDINR"
"9507","OPTCUR","USDINR","OPTION","10-Nov-2023",81,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",520,1,1000,0.0025,"US Dollars","","","","",1.885,2.71,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2975,"USDINR"
"9509","OPTCUR","USDINR","OPTION","10-Nov-2023",81.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",520,1,1000,0.0025,"US Dollars","","","","",1.635,2.46,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.0475,"USDINR"
"9511","OPTCUR","USDINR","OPTION","10-Nov-2023",81.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",21,1,1000,0.0025,"US Dollars","","","","",1.385,2.21,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.7975,"USDINR"
"9513","OPTCUR","USDINR","OPTION","10-Nov-2023",81.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",56,1,1000,0.0025,"US Dollars","","","","",1.135,1.96,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.5475,"USDINR"
"9515","OPTCUR","USDINR","OPTION","10-Nov-2023",82,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",52,1,1000,0.0025,"US Dollars","","","","",0.885,1.71,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2975,"USDINR"
"11960","OPTCUR","USDINR","OPTION","10-Nov-2023",82.125,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.7675,1.5925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.195,"USDINR"
"9517","OPTCUR","USDINR","OPTION","10-Nov-2023",82.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",87,1,1000,0.0025,"US Dollars","","","","",0.6375,1.4575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.0475,"USDINR"
"11962","OPTCUR","USDINR","OPTION","10-Nov-2023",82.375,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",45,1,1000,0.0025,"US Dollars","","","","",0.51,1.32,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.915,"USDINR"
"9519","OPTCUR","USDINR","OPTION","10-Nov-2023",82.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",664,1,1000,0.0025,"US Dollars","","","","",0.3825,1.1725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7775,"USDINR"
"11964","OPTCUR","USDINR","OPTION","10-Nov-2023",82.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1258,1,1000,0.0025,"US Dollars","","","","",0.2725,1.0375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.655,"USDINR"
"9521","OPTCUR","USDINR","OPTION","10-Nov-2023",82.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",714,1,1000,0.0025,"US Dollars","","","","",0.1675,0.8975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5325,"USDINR"
"11966","OPTCUR","USDINR","OPTION","10-Nov-2023",82.875,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",3035,1,1000,0.0025,"US Dollars","","","","",0.0725,0.7475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.41,"USDINR"
"9523","OPTCUR","USDINR","OPTION","10-Nov-2023",83,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",27685,1,1000,0.0025,"US Dollars","","","","",0.0025,0.5925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2875,"USDINR"
"11969","OPTCUR","USDINR","OPTION","10-Nov-2023",83.125,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",28955,1,1000,0.0025,"US Dollars","","","","",0.0025,0.44,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.175,"USDINR"
"9525","OPTCUR","USDINR","OPTION","10-Nov-2023",83.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",293892,1,1000,0.0025,"US Dollars","","","","",0.0025,0.315,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0925,"USDINR"
"11971","OPTCUR","USDINR","OPTION","10-Nov-2023",83.375,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",206106,1,1000,0.0025,"US Dollars","","","","",0.0025,0.2225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.045,"USDINR"
"9527","OPTCUR","USDINR","OPTION","10-Nov-2023",83.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",363282,1,1000,0.0025,"US Dollars","","","","",0.0025,0.16,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.025,"USDINR"
"8658","OPTCUR","USDINR","OPTION","10-Nov-2023",83.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",84078,1,1000,0.0025,"US Dollars","","","","",0.0025,0.1125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.015,"USDINR"
"9529","OPTCUR","USDINR","OPTION","10-Nov-2023",83.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",78798,1,1000,0.0025,"US Dollars","","","","",0.0025,0.075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"10707","OPTCUR","USDINR","OPTION","10-Nov-2023",83.875,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.07,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4825,"USDINR"
"9531","OPTCUR","USDINR","OPTION","10-Nov-2023",84,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",55396,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"USDINR"
