,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
29,718GS2037,GS,101.5,101.5,101.5,101.5,101.5,101.75,1000,101500.0,24-NOV-2023,1,IN0020230077,
30,725GS2063,GS,102.5,102.5,101.65,101.66,101.65,101.9,9780,995190.2,24-NOV-2023,15,IN0020230044,
31,726GS2032,GS,101.6,101.8,101.0,101.7,101.7,101.6,4657,473378.0,24-NOV-2023,14,IN0020220060,
32,732GS2030,GS,100.7,100.7,100.7,100.7,100.7,100.7,300,30210.0,24-NOV-2023,1,IN0020230135,
33,736GS2052,GS,100.68,101.5,100.68,101.0,101.0,101.14,37755,3822633.53,24-NOV-2023,24,IN0020220086,
34,737GS2028,GS,102.5,103.0,102.5,103.0,103.0,102.0,6000,617834.0,24-NOV-2023,9,IN0020230101,
35,738GS2027,GS,103.46,103.75,103.46,103.62,103.75,103.65,29157,3018567.84,24-NOV-2023,20,IN0020220037,
36,73GS2053,GS,101.8,101.8,101.8,101.8,101.8,101.8,501,51001.8,24-NOV-2023,3,IN0020230051,
37,741GS2036,GS,104.39,104.4,104.15,104.15,104.15,103.95,13075,1362437.45,24-NOV-2023,17,IN0020220102,
38,746GS2073,GS,100.0,102.5,100.0,102.5,102.5,101.0,200,20250.0,24-NOV-2023,2,IN0020230127,
39,74GS2062,GS,102.52,102.52,102.49,102.49,102.49,102.5,9,922.51,24-NOV-2023,4,IN0020220094,
40,754GS2036,GS,101.9,101.95,101.7,101.77,101.75,101.73,1177545,119886346.74,24-NOV-2023,277,IN0020220029,
41,768GS2023,GS,103.5,103.5,98.18,98.39,98.54,103.3,10854,1089143.92,24-NOV-2023,25,IN0020150010,
42,772GS2025,GS,104.8,104.8,104.8,104.8,104.8,104.8,1,104.8,24-NOV-2023,1,IN0020150036,
43,91D010224,TB,98.6,98.65,98.6,98.65,98.65,98.62,400,39450.0,24-NOV-2023,2,IN002023X328,
44,91D040124,TB,99.15,99.25,99.15,99.25,99.25,99.15,900,89260.0,24-NOV-2023,3,IN002023X286,
45,91D071223,TB,99.7,99.7,99.7,99.7,99.7,99.66,300,29910.0,24-NOV-2023,2,IN002023X245,
46,91D080224,TB,98.5,98.51,98.5,98.51,98.51,98.5,1700,167465.0,24-NOV-2023,5,IN002023X336,
47,91D110124,TB,99.24,99.24,99.24,99.24,99.24,99.01,100,9924.0,24-NOV-2023,1,IN002023X294,
48,91D141223,TB,99.55,99.56,99.55,99.56,99.56,99.5,5200,517661.0,24-NOV-2023,3,IN002023X252,
49,91D150224,TB,98.36,98.41,98.36,98.37,98.37,98.37,700,68878.0,24-NOV-2023,6,IN002023X344,
50,91D211223,TB,99.35,99.35,99.35,99.35,99.35,99.35,100,9935.0,24-NOV-2023,1,IN002023X260,
51,91D220224,TB,98.5,98.5,97.9,97.95,97.95,98.3,1700,166584.0,24-NOV-2023,12,IN002023X351,
52,91D291223,TB,99.28,99.41,99.28,99.41,99.41,99.27,4100,407061.0,24-NOV-2023,2,IN002023X278,
53,91D301123,TB,99.8,99.8,99.75,99.75,99.75,99.8,1000,99765.0,24-NOV-2023,2,IN002023X237,
54,92GS2030,GS,112.6,115.0,112.0,115.0,115.0,113.0,57401,6436674.0,24-NOV-2023,14,IN0020130053,
55,A2ZINFRA,BE,11.35,11.35,11.35,11.35,11.35,11.55,22613,256657.55,24-NOV-2023,34,INE619I01012,
56,AAATECH,EQ,78.0,78.4,76.25,76.45,76.25,77.7,47370,3645236.9,24-NOV-2023,870,INE0D0U01013,
